timestamp,x,y,label,session_id
1694326183.2083504,1490,468,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.216326,1490,468,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.268394,1490,469,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.2693977,1490,469,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.2759178,1491,470,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.2829685,1494,471,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.2909746,1497,473,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.2979758,1503,477,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3059695,1513,483,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3130357,1524,488,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3210373,1531,491,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3280218,1547,497,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3360105,1556,499,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3431945,1572,504,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3512313,1580,506,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.358332,1587,507,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3654544,1593,508,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3734102,1596,509,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3810723,1597,509,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.3880448,1597,510,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.4501288,1589,422,end,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.6439645,1597,510,start,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.6510727,1593,510,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.6579595,1586,510,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.6659942,1572,508,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.6729782,1552,505,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.6805084,1531,502,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.6885266,1491,493,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.695509,1453,482,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.7035108,1412,469,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.7105083,1371,454,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.7185106,1324,433,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.7261393,1276,411,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.7328084,1250,398,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.7408345,1200,374,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.7488363,1169,362,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
1694326183.7558367,1117,340,path,4c08e087-67ab-45b2-8d0e-10a74515df2d
